URLLength,DomainLength,IsDomainIP,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label,FILENAME,URL,Domain,TLD,Title
31,24,0,100.0,1.0,0.5229071,0.058499122,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,1,1198,26900,1,100.0,100.0,0,0,1,0,0,1,0,6,0,1,1,1,1,1,1,1,1,21,5,114,50,1,22,1,240657.txt,https://www.watertownsavings.com,www.watertownsavings.com,com,watertownsavings
24,17,0,100.0,1.0,0.5229071,0.060016405,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,328,4611,1,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,1,1,22,0,21,1,28127.txt,https://www.punycoder.com,www.punycoder.com,com,punyder
26,19,0,100.0,0.636363636,0.5229071,0.047647533,3,1,0,0,0.0,11,0.423,2,0.077,0,0,0,1,0.038,1,802,8362,1,81.81818182,81.81818182,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,6,59,13,105,1,31,1,88525.txt,https://www.covid19usvi.com,www.covid19usvi.com,com,vid19usvi
23,16,0,100.0,1.0,0.5229071,0.06572303,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,575,5414,1,100.0,100.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,32,4,5,35,0,10,1,246453.txt,https://www.integrho.com,www.integrho.com,com,integrho
41,32,0,56.67909037,0.607142857,0.5229071,0.056873956,3,1,0,0,0.0,28,0.683,2,0.049,0,0,0,3,0.073,1,6,88,0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8073798.txt,https://portaldiscover19.firebaseapp.com/,portaldiscover19.firebaseapp.com,com,0
23,16,0,100.0,1.0,0.0064109,0.071420636,2,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,981,9493,1,0.0,0.0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,34,8,66,90,3,86,1,714544.txt,https://www.aeropolis.es,www.aeropolis.es,es,aropolis
32,25,0,100.0,0.529411765,0.5229071,0.058212842,3,1,0,0,0.0,18,0.562,0,0.0,0,0,0,2,0.062,1,689,1402,1,100.0,100.0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,29,1,7,79,5,67,1,13900.txt,https://www.strategy-business.com,www.strategy-business.com,com,strategy-business
39,13,0,34.4516129,1.0,0.0384199,0.055203737,3,0,0,0,0.0,24,0.615,1,0.026,0,0,0,6,0.154,1,96,298,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8094490.txt,https://arpioneer.net/public/js2/.lals/,arpioneer.net,net,arpioneerpublicjs2lals
45,20,0,42.85105476,0.5625,0.5229071,0.058079482,3,1,0,0,0.0,32,0.711,0,0.0,0,0,0,5,0.111,1,9,96,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8039446.txt,https://appbest.wpengine.com/wp-content/themes,appbest.wpengine.com,com,appbestwpenginewp-contenttheme
18,11,0,100.0,1.0,0.0033282,0.04789283,3,1,0,0,0.0,5,0.278,0,0.0,0,0,0,1,0.056,1,529,392,1,100.0,100.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8,3,2,188,0,13,1,17220.txt,https://www.gps.gov,www.gps.gov,gov,gps
28,21,0,100.0,1.0,0.5229071,0.057387205,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,1500,1477,1,100.0,100.0,1,1,1,0,0,1,0,12,1,1,1,1,0,0,1,0,1,43,4,17,198,1,192,1,787139.txt,https://www.appealshading.com,www.appealshading.com,com,appealshading
29,22,0,100.0,1.0,0.5229071,0.05397988,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,9618,10950,1,100.0,100.0,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,0,0,36,16,15,148,5,152,1,828979.txt,https://www.dailyautostudy.com,www.dailyautostudy.com,com,dailyautostudy
29,22,0,100.0,1.0,0.0799628,0.060390521,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,1507,9381,1,100.0,100.0,1,1,1,0,0,1,0,2,0,1,0,1,0,0,0,0,1,50,24,35,60,2,81,1,779050.txt,https://www.sedberghschool.org,www.sedberghschool.org,org,sedberghschool
18,11,0,100.0,1.0,0.0002984,0.057451816,3,1,0,0,0.0,5,0.278,0,0.0,0,0,0,1,0.056,1,1040,6155,1,100.0,100.0,1,1,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,13,10,9,67,5,72,1,446815.txt,https://www.unc.mil,www.unc.mil,mil,unc
32,25,0,100.0,1.0,0.5229071,0.064977219,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,1228,1162,1,100.0,100.0,1,0,1,0,0,1,0,3,0,1,1,1,0,0,1,0,0,33,2,14,64,9,43,1,619391.txt,https://www.entenmannsflorist.com,www.entenmannsflorist.com,com,entenmannsflorist
25,18,0,100.0,0.727272727,0.012178,0.075190064,2,1,0,0,0.0,11,0.44,0,0.0,0,0,0,2,0.08,1,1060,27080,1,0.0,0.0,1,1,1,0,0,1,0,2,1,1,1,1,0,0,1,0,1,50,12,21,99,2,99,1,506561.txt,https://www.mosaico-cem.it,www.mosaico-cem.it,it,mosaco-cem
18,11,0,100.0,1.0,0.0101825,0.080377658,2,1,0,0,0.0,5,0.278,0,0.0,0,0,0,1,0.056,1,1270,479,1,100.0,100.0,1,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,1,12,3,7,19,0,11,1,529290.txt,https://www.seao.ca,www.seao.ca,ca,seao
35,28,0,100.0,1.0,0.0799628,0.05546098,3,1,0,0,0.0,22,0.629,0,0.0,0,0,0,1,0.029,1,562,301,1,100.0,100.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,8,1,2,32,5,34,1,684710.txt,https://www.caulifloweralleyclub.org,www.caulifloweralleyclub.org,org,caulifloweralleyclub
24,17,0,100.0,1.0,0.0141483,0.055263072,2,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,2253,2691,1,100.0,100.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52,37,48,298,0,25,1,241785.txt,https://www.saintcloud.fr,www.saintcloud.fr,fr,saintcloud
43,34,0,58.34898665,0.533333333,0.5229071,0.055055732,3,1,0,0,0.0,27,0.628,4,0.093,0,0,0,4,0.093,1,108,8125,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8103314.txt,https://regionale2023-agri.firebaseapp.com/,regionale2023-agri.firebaseapp.com,com,regionale2023-agrifirebaseapp
30,23,0,100.0,1.0,0.0799628,0.063396577,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,1639,23922,1,100.0,100.0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,14,46,48,97,7,111,1,706919.txt,https://www.citizenactionwi.org,www.citizenactionwi.org,org,citizenactionwi
24,17,0,100.0,1.0,0.5229071,0.062454891,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,730,9327,1,100.0,100.0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,20,2,3,3,0,13,1,246533.txt,https://www.pokerlist.com,www.pokerlist.com,com,pokerlist
24,17,0,100.0,1.0,0.5229071,0.06298264,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,327,8677,1,100.0,100.0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,3,7,3,3,1,0,1,800146.txt,https://www.weblitera.com,www.weblitera.com,com,weblitera
24,17,0,100.0,1.0,0.5229071,0.06583913,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,681,9381,1,100.0,100.0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,36,12,19,61,0,81,1,631968.txt,https://www.gonichols.com,www.gonichols.com,com,gonichols
28,21,0,100.0,1.0,0.0023289,0.060236135,2,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,2072,2021,1,0.0,0.0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,30,2,15,306,1,30,1,442699.txt,https://www.platekompaniet.no,www.platekompaniet.no,no,platekompaiet
22,15,0,100.0,1.0,0.5229071,0.060138318,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,1547,676,1,100.0,100.0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,49,2,12,111,1,124,1,42004.txt,https://www.hrcloud.com,www.hrcloud.com,com,hrcloud
41,33,0,31.96243203,0.433333333,0.0059772,0.04961259,2,1,0,0,0.0,23,0.561,6,0.146,0,0,0,4,0.098,1,104,306,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,8016866.txt,https://danganca73--s1danganca763.repl.co/,danganca73--s1danganca763.repl.co,co,danganca73--s1danganca763repl
22,15,0,100.0,1.0,0.5229071,0.053258152,3,1,0,0,0.0,6,0.273,3,0.136,0,0,0,1,0.045,1,6827,47927,1,71.42857143,71.42857143,1,1,1,0,0,1,0,6,0,1,0,0,0,1,0,0,1,100,12,25,133,8,142,1,23251.txt,https://www.comm100.com,www.comm100.com,com,mm100
26,19,0,100.0,0.727272727,0.5229071,0.065443954,3,1,0,0,0.0,12,0.462,0,0.0,0,0,0,2,0.077,1,301,256,1,100.0,100.0,1,0,1,0,0,1,0,7,0,1,0,0,0,0,0,0,1,17,2,8,10,0,13,1,155405.txt,https://www.android-ide.com,www.android-ide.com,com,android-ide
26,19,0,100.0,1.0,0.5229071,0.060369806,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,301,934,1,100.0,100.0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,11,1,7,0,0,9,1,80239.txt,https://www.nosurfmusic.com,www.nosurfmusic.com,com,nosurfmusic
56,47,0,34.75718451,0.159090909,0.0059772,0.036046787,2,2,0,0,0.0,26,0.464,14,0.25,0,0,0,8,0.143,1,198,869,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8057078.txt,https://f0d5ad0d-9c5c-46aa-aec6-34bc6d5d89bb.id.repl.co/,f0d5ad0d-9c5c-46aa-aec6-34bc6d5d89bb.id.repl.co,co,f0d5ad0d-9c5c-46aa-aec6-34bc6d5d89bbidrepl
19,12,0,100.0,1.0,0.0082003,0.066727307,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,193,401,1,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,2,0,0,17,1,895670.txt,https://www.agogo.nl,www.agogo.nl,nl,agogo
22,15,0,100.0,1.0,0.5229071,0.05455802,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,3740,3970,1,100.0,100.0,0,0,1,1,0,1,0,19,0,1,1,1,1,1,1,0,1,122,2,22,36,0,12,1,654413.txt,https://www.lnzlife.com,www.lnzlife.com,com,lnzlife
79,7,0,12.69078725,1.0,0.0129268,0.044491498,2,0,0,0,0.0,57,0.722,11,0.139,0,0,0,3,0.038,1,107,25299,1,0.0,98.50746269,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,6,2,0,3,0,oph02391.txt,https://ipfs.io/ipfs/bafybeiccswtnn4ooaay2h3h7mau7brgaz56e2iyqimcp3eeo52adepdape,ipfs.io,io,ipfsipfsbafybeiccswtnn4ooaay2h3h7mau7brgaz56e2iyqimcp3eeo52adepdap
24,17,0,100.0,0.8,0.028555,0.059388753,2,2,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,1,665,2799,1,0.0,0.0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,26,2,4,353,0,30,1,423245.txt,https://www.jarrold.co.uk,www.jarrold.co.uk,uk,jarroldco
27,20,0,100.0,1.0,0.5229071,0.060480075,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,1529,6745,1,100.0,100.0,0,0,1,0,0,1,0,22,0,1,1,1,1,1,1,0,1,68,4,19,66,0,24,1,123152.txt,https://www.ashleyborden.com,www.ashleyborden.com,com,ashleyborden
29,22,0,100.0,1.0,0.5229071,0.060107139,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,979,14847,1,100.0,100.0,0,1,1,0,0,1,0,2,0,0,1,1,0,0,0,0,0,29,14,22,102,0,98,1,545857.txt,https://www.boostupfitness.com,www.boostupfitness.com,com,boostupfitness
24,17,0,100.0,1.0,0.5229071,0.052543557,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,4653,9381,1,100.0,100.0,1,1,1,0,0,0,0,7,0,1,1,1,0,0,0,0,1,37,6,13,142,9,185,1,224486.txt,https://www.ghumakkar.com,www.ghumakkar.com,com,ghumakkar
36,29,0,100.0,1.0,0.5229071,0.055030945,3,1,0,0,0.0,23,0.639,0,0.0,0,0,0,1,0.028,1,2321,32763,1,100.0,100.0,0,1,1,0,0,1,0,9,0,1,1,1,0,0,1,0,1,49,8,30,203,3,247,1,624610.txt,https://www.labeverlyhillsdentist.com,www.labeverlyhillsdentist.com,com,labeverlyhillsdentist
20,13,0,100.0,1.0,0.5229071,0.061315858,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,3699,2089,1,100.0,100.0,1,1,1,1,0,1,0,6,0,1,0,0,0,0,0,0,1,68,31,26,39,2,235,1,29060.txt,https://www.detik.com,www.detik.com,com,detik
41,32,0,58.63517992,0.428571429,0.5229071,0.058366485,3,1,0,0,0.0,29,0.707,0,0.0,0,0,0,4,0.098,1,108,8125,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8067076.txt,https://natwest-livechat.firebaseapp.com/,natwest-livechat.firebaseapp.com,com,natwest-livechatfirebaseapp
26,18,0,43.92462638,0.714285714,0.0009613,0.035856848,3,1,0,0,0.0,13,0.5,3,0.115,0,0,0,2,0.077,1,66,3018,1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,0,0,7926943.txt,https://wb8e81.webwave.dev/,wb8e81.webwave.dev,dev,wb8e81webwave
20,13,0,100.0,1.0,0.0799628,0.067484694,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,1857,2269,1,100.0,100.0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,10,2,4,69,37,24,1,145680.txt,https://www.eular.org,www.eular.org,org,eular
37,30,0,100.0,1.0,0.0799628,0.065498135,3,1,0,0,0.0,24,0.649,0,0.0,0,0,0,1,0.027,1,1024,5682,1,100.0,100.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20,36,31,85,2,80,1,838669.txt,https://www.archivioartemetafisica.org,www.archivioartemetafisica.org,org,archivioartemetafisica
33,26,0,100.0,0.894736842,0.028555,0.06163747,2,2,0,0,0.0,19,0.576,0,0.0,0,0,0,2,0.061,1,806,9381,1,0.0,0.0,0,1,1,0,0,1,0,3,0,1,0,1,0,0,0,0,1,10,15,21,39,2,54,1,808697.txt,https://www.chelseawellwomen.co.uk,www.chelseawellwomen.co.uk,uk,chelseawellwomenco
51,42,0,29.29185311,0.411764706,0.5229071,0.0532387,3,5,0,0,0.0,31,0.608,1,0.02,0,0,0,7,0.137,1,2,59,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8099787.txt,https://www.dlrect-smtb.jp.ap1.ib.grenadelokum.com/,www.dlrect-smtb.jp.ap1.ib.grenadelokum.com,com,0
34,27,0,100.0,0.9,0.0019933,0.062206998,2,2,0,0,0.0,20,0.588,0,0.0,0,0,0,2,0.059,1,1116,1935,1,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,7,24,441,0,31,1,545877.txt,https://www.thevintageaviator.co.nz,www.thevintageaviator.co.nz,nz,thevitageaviatorco
27,21,0,54.70972703,0.583333333,0.0004041,0.065621611,4,2,0,0,0.0,14,0.519,0,0.0,0,0,0,2,0.074,0,8,41,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw66198.txt,http://www.smile.cannca.shop,www.smile.cannca.shop,shop,smilecannca
26,19,0,100.0,0.75,0.0100856,0.069768546,2,2,0,0,0.0,12,0.462,0,0.0,0,0,0,2,0.077,1,450,2645,1,0.0,0.0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,10,10,24,32,0,32,1,90041.txt,https://www.sevenson.com.au,www.sevenson.com.au,au,sevensoncom
27,19,0,51.13573407,0.533333333,0.001502,0.031915381,3,1,0,0,0.0,12,0.444,4,0.148,0,0,0,3,0.111,1,2,194,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8020020.txt,https://str-dhh1434.web.app/,str-dhh1434.web.app,app,0
29,22,0,100.0,1.0,0.0799628,0.054446215,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,1335,4664,1,100.0,100.0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,25,28,50,100,3,120,1,720307.txt,https://www.jewishvoicesnj.org,www.jewishvoicesnj.org,org,jewishvoicesnj
22,15,0,100.0,1.0,0.5229071,0.065754535,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,2113,2050,1,100.0,100.0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,48,4,3,49,48,75,1,393731.txt,https://www.mambazo.com,www.mambazo.com,com,mambazo
23,16,0,100.0,1.0,0.0326503,0.065057949,2,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,318,1280,1,100.0,100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,2,0,3,2,1,254988.txt,https://www.amicimiei.de,www.amicimiei.de,de,amicimiei
29,22,0,100.0,1.0,0.0799628,0.057671358,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,920,2140,1,100.0,100.0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,21,9,15,170,6,186,1,434691.txt,https://www.wheatlandmusic.org,www.wheatlandmusic.org,org,wheatlandmusic
19,13,0,87.90123457,0.4,0.5229071,0.077034049,3,1,0,0,0.0,5,0.263,0,0.0,0,0,0,3,0.158,0,9,72,1,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,mw99186.txt,http://www.a-c-s.com,www.a-c-s.com,com,a-c-s
45,36,0,49.38560977,0.65625,0.5229071,0.049230387,3,1,0,0,0.0,31,0.689,3,0.067,0,0,0,3,0.067,1,108,8125,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8105430.txt,https://maildinshaakckjnw133.firebaseapp.com/,maildinshaakckjnw133.firebaseapp.com,com,maildinshaakckjnw133firebaseapp
26,19,0,100.0,1.0,0.0799628,0.056304368,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,1870,1401,1,100.0,100.0,1,0,1,0,0,1,0,3,0,1,1,1,0,0,1,0,0,119,8,12,108,21,57,1,22682.txt,https://www.firsthealth.org,www.firsthealth.org,org,firsthealth
19,12,0,100.0,1.0,0.5229071,0.067677282,3,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,3105,37089,1,100.0,100.0,0,0,1,0,0,1,0,2,0,1,0,1,0,1,0,0,1,12,3,15,271,6,53,1,44307.txt,https://www.dtcc.com,www.dtcc.com,com,dtcc
25,18,0,100.0,1.0,0.0384199,0.048584834,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,7871,16310,1,100.0,100.0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,40,4,14,131,0,19,1,700228.txt,https://www.trippingly.net,www.trippingly.net,net,trippingly
26,19,0,100.0,1.0,0.5229071,0.069745648,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,2323,36376,1,100.0,100.0,1,0,1,0,0,1,0,2,0,1,1,1,0,0,0,1,1,182,3,9,330,37,117,1,130392.txt,https://www.usalacrosse.com,www.usalacrosse.com,com,usalacrosse
36,28,0,77.56861365,0.541666667,0.5229071,0.062288489,3,1,0,0,0.0,26,0.722,0,0.0,0,0,0,2,0.056,1,108,8125,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7967279.txt,https://dememdrebese.firebaseapp.com/,dememdrebese.firebaseapp.com,com,dememdrebesefirebaseapp
22,16,0,59.29487179,0.875,0.5229071,0.03985064,3,2,0,0,0.0,8,0.364,1,0.045,0,0,0,2,0.091,0,2,32,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw142093.txt,http://www.x5.mhnpv.com,www.x5.mhnpv.com,com,0
28,21,0,100.0,1.0,0.0326503,0.055098005,2,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,366,334,1,100.0,100.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,9,14,16,0,0,1,479226.txt,https://www.schlosskonzert.de,www.schlosskonzert.de,de,schlosskonzert
